,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1,team_name
151,at McDaniel,01/13/18,56-46,W,21-50,0.42,4-14,0.286,10-18,0.556,11,27,38,43.5,14,12,17,1,7,56,73.6,wbball
152,vs Johns Hopkins,01/20/18,64-59,W,22-63,0.349,2-12,0.167,18-24,0.75,16,30,46,43.6,8,10,10,3,7,64,73.0,wbball
153,vs Ursinus,01/23/18,89-55,W,32-63,0.508,10-27,0.37,15-20,0.75,17,25,42,43.5,12,22,13,5,8,89,73.9,wbball
154,at Dickinson,01/25/18,74-60,W,30-62,0.484,9-20,0.45,5-9,0.556,10,32,42,43.4,15,11,13,8,4,74,73.9,wbball
155,at Washington College,01/27/18,66-43,W,23-62,0.371,6-16,0.375,14-22,0.636,14,37,51,43.8,16,19,11,3,6,66,73.5,wbball
156,vs Swarthmore,01/31/18,71-41,W,27-66,0.409,9-22,0.409,8-13,0.615,13,39,52,44.3,16,20,20,5,12,71,73.4,wbball
157,at Franklin & Marshall,02/03/18,74-57,W,28-67,0.418,7-24,0.292,11-14,0.786,13,27,40,44.0,8,13,7,4,11,74,73.4,wbball
158,at Haverford,02/06/18,44-52,L,17-67,0.254,6-22,0.273,4-5,0.8,18,29,47,44.2,14,10,10,2,7,44,72.1,wbball
159,at Gettysburg,02/08/18,70-71,L,28-78,0.359,6-21,0.286,8-11,0.727,17,28,45,44.2,17,11,3,3,4,70,72.0,wbball
160,vs Bryn Mawr,02/14/18,71-36,W,27-73,0.37,13-31,0.419,4-6,0.667,21,34,55,44.7,8,19,12,7,8,71,72.0,wbball
161,vs McDaniel,02/17/18,63-53,W,25-56,0.446,8-17,0.471,5-10,0.5,12,28,40,44.5,15,18,13,2,5,63,71.6,wbball
162,vs Haverford,02/23/18,47-60,L,19-60,0.317,3-9,0.333,6-10,0.6,9,21,30,43.9,21,8,8,6,3,47,70.7,wbball
