,Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1,team_name
85,at DeSales,11/12/19,92-79,W,28-54,0.519,14-26,0.538,22-28,0.786,8,24,32,38.0,19,20,15,3,6,92,93.5,mbball
86,vs Delaware Valley,11/15/19,74-72,W,28-72,0.389,4-27,0.148,14-18,0.778,16,25,41,39.0,17,9,12,4,6,74,87.0,mbball
87,vs King's,11/19/19,87-75,W,33-62,0.532,6-21,0.286,15-26,0.577,13,32,45,40.5,21,18,14,7,4,87,87.0,mbball
88,vs Bryn Athyn,11/22/19,76-59,W,28-68,0.412,7-29,0.241,13-19,0.684,21,28,49,42.2,14,18,14,2,7,76,84.8,mbball
89,vs Neumann,11/23/19,72-71,W,26-56,0.464,10-29,0.345,10-15,0.667,9,21,30,40.2,17,12,19,0,9,72,82.7,mbball
90,vs Dickinson,11/26/19,76-52,W,28-60,0.467,8-22,0.364,12-20,0.6,14,27,41,40.3,16,13,19,1,10,76,81.7,mbball
91,at Washington College,12/04/19,74-66,W,24-55,0.436,8-22,0.364,18-22,0.818,9,24,33,39.4,8,13,10,7,8,74,80.8,mbball
92,vs Johns Hopkins,12/07/19,55-59,L,22-58,0.379,5-22,0.227,6-11,0.545,9,22,31,38.4,20,12,12,4,7,55,77.9,mbball
93,at Haverford,12/14/19,62-68,L,20-64,0.313,4-23,0.174,18-24,0.75,10,32,42,38.8,12,5,12,0,8,62,76.3,mbball
94,at Sarah Lawrence,01/04/20,95-85,W,30-57,0.526,15-31,0.484,20-27,0.741,9,17,26,37.6,19,23,16,3,10,95,78.0,mbball
95,vs Swarthmore,01/09/20,74-85,L,26-59,0.441,8-23,0.348,14-19,0.737,5,14,19,36.1,18,13,12,5,9,74,77.7,mbball
96,at McDaniel,01/11/20,75-67,W,24-44,0.545,1-11,0.091,26-31,0.839,5,22,27,35.4,18,10,16,2,7,75,77.5,mbball
97,vs Ursinus,01/15/20,78-64,W,30-58,0.517,11-23,0.478,7-12,0.583,3,31,34,35.3,12,13,16,5,4,78,77.5,mbball
98,at Franklin & Marshall,01/18/20,72-74,L (OT),25-58,0.431,6-21,0.286,16-21,0.762,7,25,32,35.1,20,14,14,7,11,72,77.1,mbball
99,vs Washington College,01/22/20,79-73,W,29-58,0.5,4-17,0.235,17-25,0.68,6,29,35,35.1,17,11,8,2,6,79,77.3,mbball
100,vs Gettysburg,01/25/20,71-55,W,25-54,0.463,10-26,0.385,11-12,0.917,5,33,38,35.2,16,17,13,4,2,71,76.9,mbball
101,at Dickinson,01/29/20,75-74,W (OT),24-63,0.381,10-29,0.345,17-24,0.708,16,28,44,35.7,13,8,16,4,6,75,76.8,mbball
102,at Johns Hopkins,02/01/20,73-82,L,25-51,0.49,10-26,0.385,13-15,0.867,4,26,30,35.4,15,14,14,4,3,73,76.6,mbball
103,at Swarthmore,02/06/20,62-75,L,23-57,0.404,8-24,0.333,8-15,0.533,6,25,31,35.2,14,10,10,6,5,62,75.9,mbball
104,vs McDaniel,02/08/20,81-62,W,26-57,0.456,18-39,0.462,11-12,0.917,10,29,39,35.4,15,19,12,7,4,81,76.1,mbball
105,vs Haverford,02/12/20,71-50,W,28-62,0.452,8-28,0.286,7-11,0.636,11,28,39,35.5,13,14,13,5,7,71,75.9,mbball
106,vs Franklin & Marshall,02/16/20,67-70,L,24-54,0.444,7-21,0.333,12-17,0.706,13,23,36,35.6,19,12,17,3,6,67,75.5,mbball
107,at Ursinus,02/19/20,84-79,W,31-71,0.437,11-35,0.314,11-12,0.917,13,25,38,35.7,21,17,10,2,4,84,75.8,mbball
108,at Gettysburg,02/22/20,74-72,W,29-61,0.475,7-24,0.292,9-10,0.9,8,26,34,35.6,11,10,13,6,4,74,75.8,mbball
109,vs Washington College,02/25/20,84-72,W,28-53,0.528,11-21,0.524,17-21,0.81,7,32,39,35.7,21,15,13,1,4,84,76.1,mbball
110,at Swarthmore,02/28/20,62-65,L,24-55,0.436,11-23,0.478,3-9,0.333,3,26,29,35.5,11,13,10,2,5,62,75.6,mbball
111,Muhlenberg,,-,,722-1582,0.456,230-667,0.345,366-506,0.723,251,707,958,35.5,437,372,368,104,167,2040,75.6,mbball
112,Opponents,,-,,697-1599,0.436,173-512,0.338,323-447,0.723,241,684,925,34.3,492,338,370,60,178,1892,70.1,mbball
