,Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,team_name
113,4/24/2022,,Gettysburg,W,1-0,19,1,5,1,1,0,0,2,0,0,1,0,2,1,0,4,21,6,0,0.263,softball
114,4/24/2022,,Gettysburg,W,3-1,28,3,9,2,1,0,0,0,0,0,0,1,0,0,0,8,21,4,1,0.321,softball
115,4/26/2022,,Ursinus,L,1-3,28,1,5,1,0,0,0,1,0,1,0,1,1,0,0,3,21,5,4,0.179,softball
116,4/26/2022,,Ursinus,W,3-2,29,3,8,2,0,1,0,1,0,0,0,3,1,0,0,0,24,8,2,0.276,softball
117,4/30/2022,,Washington College,W,3-0,26,3,9,3,0,0,0,2,0,0,0,2,1,0,2,5,21,13,0,0.346,softball
118,4/30/2022,,Washington College,W,5-0,27,5,10,4,1,0,0,0,0,0,0,1,0,0,0,4,21,6,1,0.37,softball
119,5/3/2022,,McDaniel,W,3-1,21,3,5,3,2,0,0,2,0,0,0,0,2,0,0,5,21,8,0,0.238,softball
120,5/5/2022,vs,Gettysburg,W,3-2,27,3,7,3,0,0,0,2,0,1,0,0,0,1,0,6,21,6,1,0.259,softball
121,5/8/2022,at,Swarthmore,L,6-9,29,6,7,4,0,0,0,2,0,0,0,2,0,0,0,5,18,4,3,0.241,softball
122,5/8/2022,,Swarthmore,W,3-2,31,3,9,3,3,0,1,3,0,2,0,1,2,0,0,8,27,7,1,0.29,softball
123,5/13/2022,at,Tufts,L,1-4,25,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,18,6,2,0.16,softball
124,5/14/2022,vs,Cabrini,W,6-0,27,6,7,6,1,0,1,5,0,2,0,0,2,1,0,10,21,5,1,0.259,softball
125,5/14/2022,vs,Rowan,L,1-10,25,1,5,1,0,0,1,3,0,0,0,0,0,0,0,6,21,8,4,0.2,softball
126,Total,,,,188-184,1179,188,324,151,47,9,14,77,0,34,4,19,36,8,3,190,936,320,132,,softball
127,3/16/2021,at,Rowan,L,3-5,30,3,9,3,3,0,0,0,0,1,0,0,1,0,0,5,18,9,1,0.3,softball
128,3/16/2021,at,Rowan,L,3-6,18,3,4,2,1,0,1,4,0,0,0,0,0,0,0,4,12,4,2,0.222,softball
129,3/20/2021,at,McDaniel,L,3-4,27,3,8,2,2,0,0,0,0,0,1,2,0,0,0,4,18,5,1,0.296,softball
