,Date,Opponent,W/L,Score,G,A,PTS,SH,SH%,SOG,SOG%,GW,FPG,FPS,UP,DN,GB,TO,CTO,DC,team_name
37,,Opponents,,190-248,190,83,273,405,0.469,313,0.773,6,46,81,14,1,230,298,105,247,wlax
38,2/23/22,Moravian,W,18-17,18,11,29,34,0.529,24,0.706,1,6,11,1,0,14,18,7,17,wlax
39,3/02/22,Lycoming,W,21-8,21,9,30,52,0.404,43,0.827,1,5,14,0,0,30,16,4,19,wlax
40,3/05/22,at Goucher,W,17-3,17,5,22,47,0.362,35,0.745,1,4,9,1,0,23,14,16,15,wlax
41,3/15/22,vs Framingham State,W,18-12,18,6,24,39,0.462,0,0.0,0,5,9,0,0,24,19,10,15,wlax
42,3/16/22,vs Mount Aloysius,W,21-1,21,9,30,41,0.512,0,0.0,0,0,7,0,0,36,9,9,14,wlax
43,3/23/22,at DeSales,W,14-5,14,4,18,31,0.452,25,0.806,1,4,6,1,0,25,17,9,11,wlax
44,3/26/22,at Washington College,L,10-14,10,6,16,25,0.4,17,0.68,0,2,4,2,0,12,15,4,13,wlax
45,4/02/22,at Ursinus,W,14-7,14,5,19,37,0.378,22,0.595,1,4,8,5,0,25,18,9,13,wlax
46,4/06/22,Haverford,L,7-19,7,6,13,20,0.35,14,0.7,0,0,2,0,0,12,13,10,9,wlax
47,4/09/22,Franklin & Marshall,L,10-16,10,6,16,25,0.4,17,0.68,0,3,9,0,0,16,23,8,13,wlax
48,4/13/22,Delaware Valley,W,21-2,21,13,34,43,0.488,36,0.837,1,3,7,0,0,17,15,6,22,wlax
49,4/16/22,Dickinson,W,16-15,16,8,24,28,0.571,22,0.786,1,4,6,0,0,15,20,9,20,wlax
50,4/20/22,at Swarthmore,L,8-11,8,2,10,25,0.32,23,0.92,0,2,6,0,0,28,21,12,12,wlax
51,4/23/22,at Gettysburg,L,7-18,7,3,10,18,0.389,10,0.556,0,2,3,0,0,11,26,5,12,wlax
52,4/27/22,Bryn Mawr,W,18-6,18,9,27,28,0.643,23,0.821,1,2,5,2,0,14,22,3,17,wlax
53,4/30/22,McDaniel,W,19-14,19,10,29,32,0.594,27,0.844,1,5,9,3,0,21,17,6,10,wlax
54,,Muhlenberg,,239-168,239,112,351,525,0.455,338,0.644,9,51,115,15,0,323,283,127,232,wlax
55,,Opponents,,168-239,168,77,245,421,0.399,287,0.682,5,34,89,13,1,268,294,106,215,wlax
56,3/27/21,at Gettysburg,L,3-17,3,0,3,12,0.25,8,0.667,0,1,5,0,0,10,15,1,4,wlax
57,4/15/21,Ursinus,W,11-10,11,3,14,31,0.355,23,0.742,1,2,5,0,0,18,22,6,17,wlax
58,4/17/21,at McDaniel,L,6-16,6,2,8,20,0.3,15,0.75,0,1,7,0,0,9,14,8,12,wlax
59,4/21/21,Dickinson,L,6-17,6,4,10,16,0.375,10,0.625,0,1,3,1,0,13,21,3,11,wlax
60,4/24/21,Washington College,L,12-19,12,5,17,22,0.545,16,0.727,0,3,4,0,0,12,20,8,12,wlax
61,4/28/21,at Franklin & Marshall,L,2-20,2,2,4,13,0.154,9,0.692,0,0,2,0,0,4,20,3,5,wlax
62,5/01/21,at Haverford,L,17-20,17,7,24,41,0.415,31,0.756,0,6,13,1,1,17,12,7,20,wlax
63,,Muhlenberg,,57-119,57,23,80,155,0.368,112,0.723,1,14,39,2,1,83,124,36,81,wlax
64,,Opponents,,119-57,119,59,178,256,0.465,191,0.746,5,19,46,10,2,127,98,58,107,wlax
65,2/25/20,at Misericordia,L,10-19,10,1,11,37,0.27,23,0.622,0,0,0,0,0,16,20,3,15,wlax
66,,Muhlenberg,,10-19,10,1,11,37,0.27,23,0.622,0,0,0,0,0,16,20,3,15,wlax
67,,Opponents,,19-10,19,9,28,31,0.613,22,0.71,1,0,0,1,0,20,12,13,15,wlax
68,2/23/19,Arcadia,W,17-6,17,4,21,40,0.425,30,0.75,1,5,8,2,0,17,17,8,17,wlax
69,3/04/19,RPI,L,11-13,11,1,12,31,0.355,27,0.871,0,5,11,0,0,21,5,10,5,wlax
70,3/06/19,vs HOOD,W,18-6,18,4,22,38,0.474,32,0.842,0,7,9,2,0,24,13,10,16,wlax
71,3/13/19,Misericordia,W,15-5,15,7,22,33,0.455,27,0.818,1,3,9,1,1,14,21,13,11,wlax
72,3/19/19,Montclair St.,L,9-19,9,0,9,20,0.45,18,0.9,0,5,12,3,0,21,18,4,8,wlax
73,3/21/19,Lebanon Valley,W,12-7,12,5,17,30,0.4,20,0.667,1,3,7,3,0,25,21,15,10,wlax
74,3/23/19,Bryn Mawr,W,20-4,20,10,30,37,0.541,30,0.811,1,4,7,0,0,21,14,9,17,wlax
75,3/27/19,at Cabrini,W,18-11,18,4,22,34,0.529,26,0.765,1,5,12,4,0,31,27,14,16,wlax
76,3/30/19,Gettysburg,L,4-17,4,1,5,17,0.235,9,0.529,0,1,4,1,0,12,14,3,4,wlax
77,4/03/19,at Haverford,W,13-12,13,3,16,32,0.406,22,0.688,1,6,14,1,0,25,22,9,15,wlax
78,4/06/19,Washington College,L,7-17,7,1,8,18,0.389,12,0.667,0,2,5,0,0,16,15,3,10,wlax
79,4/13/19,at McDaniel,L,10-14,10,4,14,24,0.417,20,0.833,0,4,8,1,1,20,14,9,6,wlax
80,4/17/19,at Swarthmore,L,9-16,9,2,11,29,0.31,19,0.655,0,4,8,1,0,12,16,6,17,wlax
81,4/20/19,Dickinson,L,9-16,9,5,14,22,0.409,15,0.682,0,3,9,1,0,16,24,7,12,wlax
82,4/24/19,Ursinus,W,14-12,14,2,16,26,0.538,20,0.769,1,9,10,3,0,14,22,9,18,wlax
83,4/27/19,at Franklin & Marshall,L,4-15,4,1,5,20,0.2,14,0.7,0,3,11,1,0,11,17,5,5,wlax
84,,Muhlenberg,,190-190,190,54,244,451,0.421,341,0.756,7,69,144,24,2,300,280,134,187,wlax
85,,Opponents,,190-190,190,79,269,450,0.422,347,0.771,7,43,107,16,2,274,283,137,205,wlax
86,3/05/18,vs Morrisville State,W,17-5,17,8,25,32,0.531,26,0.813,1,4,12,1,0,12,7,8,13,wlax
