,Date,Opponent,W/L,Score,G,A,PTS,SH,SH%,SOG,SOG%,GW,UP,DN,GB,TO,CTO,Faceoff,PEN-MIN,team_name
156,4/11/15,McDaniel,L,8-14,8,4,12,37,0.216,24,0.649,0,0,0,35,21,4,17-9,3-02:30,mlax
157,4/18/15,at Ursinus,L,2-20,2,1,3,30,0.067,17,0.567,0,0,0,23,18,3,3-21,3-03:00,mlax
158,4/22/15,Dickinson,L,8-9,8,3,11,36,0.222,22,0.611,0,1,0,30,12,8,7-14,2-01:30,mlax
159,,Muhlenberg,,107-137,107,61,168,449,0.238,260,0.579,3,12,1,401,239,112,121-165,45-39:30,mlax
160,,Opponents,,137-107,137,70,207,449,0.305,257,0.572,10,12,1,443,242,110,165-121,48-38:00,mlax
161,2/19/14,at Montclair State,L,7-11,7,4,11,25,0.28,21,0.84,0,3,0,23,25,9,4-17,6-06:00,mlax
162,2/22/14,York (Pa.),L,7-17,7,2,9,38,0.184,24,0.632,0,1,0,22,13,2,14-12,5-05:00,mlax
163,2/26/14,at Susquehanna,W,6-4,6,4,10,29,0.207,14,0.483,1,1,0,32,28,7,9-4,4-03:30,mlax
164,3/01/14,Scranton,L,6-12,6,3,9,24,0.25,13,0.542,0,1,0,19,13,8,6-15,3-04:00,mlax
165,3/09/14,St. Mary's (Md.),L,6-18,6,4,10,35,0.171,24,0.686,0,1,0,33,12,6,12-15,8-07:00,mlax
166,3/15/14,Richard Stockton,L,9-11,9,6,15,34,0.265,24,0.706,0,0,0,37,23,4,17-7,1-00:30,mlax
167,3/22/14,Franklin & Marshall,L,9-16,9,4,13,32,0.281,18,0.563,0,2,0,25,12,8,7-20,8-06:30,mlax
168,3/26/14,at Swarthmore,L,5-10,5,4,9,30,0.167,12,0.4,0,2,0,27,16,3,6-13,2-01:30,mlax
169,3/29/14,at Gettysburg,L,4-18,4,2,6,15,0.267,10,0.667,0,1,0,19,26,5,6-18,3-01:30,mlax
170,4/04/14,Washington College,L,2-16,2,2,4,39,0.051,16,0.41,0,1,0,26,11,3,7-13,5-05:00,mlax
