,Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist],team_name
170,10/16/2013,vs Swarthmore,L,1-2,(6-7-1 (4-3 CC)),,150,CJ Graetzer (4) (Stephanie Tramutola),wsoc
171,10/19/2013,vs Gettysburg,L,0-2,(6-8-1 (4-4 CC)),,125,,wsoc
172,10/26/2013,at Ursinus,L,0-3,"(6-9-1, 4-5 CC)",4-5 CC,125,,wsoc
173,10/30/2013,at Moravian College,L,1-2,(6-10-1),,78,Courtney Simon (1) (Audrey Zamichow),wsoc
174,11/2/2013,vs Bryn Mawr,W,4-0,(7-10-1 (5-5 CC)),,50,CJ Graetzer (5) Jacelin Muschlitz (2) (Colleen Touhey)  CJ Graetzer (6) Colleen Touhey (2) (Gabriela De Frutos),wsoc
175,11/5/2013,at McDaniel,T,0-0,(7-10-2),,221,,wsoc
176,11/8/2013,at Johns Hopkins,L,0-8,(7-11-2),,125,,wsoc
177,8/31/2012,vs Wilkes,L,1-2,(0-1),,187,Alyssa Meola (1) (Natalie Wizel),wsoc
178,9/1/2012,vs Penn State Altoona,W,5-1,(1-1),,155,Natalie Wizel (1) Alyssa Meola (0) Nicole Karsch (1) (Macayla Baer)  Maggie Neary (1) Natalie Wizel (2) (Macayla Baer),wsoc
179,9/5/2012,at Montclair State,T,1-1,(1-1-1),,277,Alyssa Meola (3) (Natalie Wizel),wsoc
180,9/8/2012,at Delaware Valley,L,0-1,(1-2-1),,85,,wsoc
181,9/9/2012,at Gwynedd-Mercy,W,1-0,(2-2-1),,100,Shelby Doll (0),wsoc
182,9/12/2012,at Messiah,L,0-3,(2-3-1),,210,,wsoc
183,9/15/2012,at McDaniel,L,0-1,"(2-4-1, 0-1 CC)",0-1 CC,109,,wsoc
184,9/19/2012,at Haverford,L,0-1,"(2-5-1, 0-2-0 CC)",0-2-0 CC,86,,wsoc
185,9/22/2012,vs Johns Hopkins,W,2-0,(3-5-1 (1-2 CC)),,150,CJ Graetzer (1) Taylor Pini (1),wsoc
186,9/25/2012,vs Scranton,L,0-1,(3-6-1),,100,,wsoc
187,9/29/2012,at Dickinson,W,1-0,"(4-6-1, 1-2-2)",1-2-2,160,Alyssa Meola (0) (Colleen Touhey),wsoc
188,10/3/2012,vs Bryn Mawr,W,4-0,(5-6-1 (3-2 CC)),,75,Macayla Baer (1) (Taylor Pini)  Taylor Pini (2) (Alyssa Meola)  Jacelin Muschlitz (1) (Taylor Pini)  Krissy Fioretti (1),wsoc
189,10/6/2012,vs Washington College,W,4-0,(6-6-1 (4-2 CC)),,250,"CJ Graetzer (2) (Nicole Karsch)  Natalie Wizel (3) (Nicole Karsch , Maggie Neary)  Stephanie Tramutola (1) Jillian Moretto (1) (Gabriela De Frutos)",wsoc
190,10/13/2012,at F&M,T,0-0,(6-6-2),,211,,wsoc
191,10/17/2012,vs Swarthmore,W,2-0,(7-6-2 (5-2-1 CC)),,100,Natalie Wizel (4) (CJ Graetzer)  CJ Graetzer (3),wsoc
192,10/20/2012,vs Gettysburg,L,0-1,(7-7-2 (5-3-1 CC)),,250,,wsoc
193,10/23/2012,vs Moravian,L,0-1,(7-8-2),,200,,wsoc
194,10/27/2012,at Ursinus,W,1-0,"(8-8-2, 4-5-1 CC)",4-5-1 CC,95,Nicole Karsch (2) (Krissy Fioretti),wsoc
195,11/1/2012,vs Swarthmore,L,0-1,(8-9-2),,175,,wsoc
