,Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS,team_name
92,9/21/2019,vs Franklin & Marshall,L,3,19,13,83,0.072,17,1,4,11,35,0,4,0,2.0,2,22.0,volleyball
93,9/25/2019,at Haverford,L,3,26,19,119,0.059,26,2,7,3,52,1,8,0,5.0,5,33.0,volleyball
94,9/28/2019,Dickinson,W,3,40,14,94,0.277,37,5,5,3,37,0,12,0,6.0,0,51.0,volleyball
95,9/28/2019,DeSales,L,5,57,25,199,0.161,53,5,5,5,103,2,18,1,11.0,2,73.0,volleyball
96,10/02/2019,Scranton,L,3,27,19,103,0.078,25,9,5,11,43,0,10,0,5.0,1,41.0,volleyball
97,10/10/2019,Bryn Mawr,W,3,39,17,105,0.21,38,9,6,1,51,0,8,0,4.0,2,52.0,volleyball
98,10/12/2019,at Johns Hopkins,L,3,15,19,83,-0.048,15,5,5,7,30,0,4,0,2.0,0,22.0,volleyball
99,10/12/2019,vs Mary Washington,W,4,53,20,143,0.231,47,9,11,9,74,3,14,1,10.0,0,72.0,volleyball
100,10/16/2019,Ursinus,W,3,37,17,122,0.164,34,9,5,3,70,1,6,1,4.0,2,50.0,volleyball
101,10/19/2019,Gettysburg,L,3,29,13,128,0.125,25,5,4,8,60,2,0,0,2.0,2,36.0,volleyball
102,10/22/2019,PSU Berks,W,5,64,26,197,0.193,63,12,9,3,104,1,6,0,4.0,4,80.0,volleyball
103,10/25/2019,at McDaniel,L,4,47,30,174,0.098,47,7,4,6,89,5,2,0,6.0,0,60.0,volleyball
104,10/30/2019,at Swarthmore,L,3,31,19,116,0.103,30,7,8,5,54,0,8,0,4.0,2,42.0,volleyball
105,11/02/2019,Washington,W,3,41,16,104,0.24,38,10,3,4,58,0,4,0,2.0,3,53.0,volleyball
106,,Muhlenberg,,91,959,482,3275,0.146,880,183,143,157,1578,29,192,11,125.0,58,1267.0,volleyball
107,,Opponents,,91,1043,488,3334,0.166,957,147,156,174,1648,26,209,19,130.5,35,1320.5,volleyball
108,8/31/2018,vs Susquehanna,W,5,47,22,225,0.111,42,8,5,6,110,5,6,0,8.0,0,63.0,volleyball
109,8/31/2018,at Chris. Newport,W,3,47,14,129,0.256,47,7,6,3,72,1,2,0,2.0,4,56.0,volleyball
110,9/01/2018,vs Stevenson,W,4,51,20,156,0.199,47,14,9,8,70,1,6,2,4.0,4,69.0,volleyball
111,9/01/2018,vs Mary Washington,L,5,61,23,177,0.215,58,10,8,12,85,1,12,1,7.0,1,78.0,volleyball
112,9/05/2018,at Scranton,W,5,56,17,158,0.247,56,10,7,8,83,0,10,0,5.0,2,71.0,volleyball
113,9/07/2018,FDU-Florham,W,3,41,14,124,0.218,40,8,3,1,65,0,12,1,6.0,2,55.0,volleyball
114,9/07/2018,Stevenson,W,3,42,11,93,0.333,37,5,6,1,46,1,4,0,3.0,2,50.0,volleyball
