,Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,team_name
148,3/3/2019,vs,Emerson,W,4-3,28,4,13,4,3,0,1,1,0,0,1,0,1,1,0,6,21,8,1,0.464,baseball
149,3/3/2019,vs,Emerson,W,15-0,37,15,18,15,3,2,0,5,0,1,0,2,0,2,0,2,21,7,0,0.486,baseball
150,3/4/2019,vs,Illinois Col.,L,1-5,30,1,9,1,1,0,0,1,0,0,0,1,1,0,0,4,21,11,1,0.3,baseball
151,3/4/2019,vs,Illinois College,W,4-3,23,4,6,3,2,0,0,10,1,1,1,0,1,0,1,4,21,6,2,0.261,baseball
152,3/6/2019,vs,Grove City,W,3-2,29,3,7,3,0,0,0,3,0,1,0,0,0,0,2,5,27,8,1,0.241,baseball
153,3/6/2019,vs,Bridgewater (Va.),L,6-12,37,6,9,6,1,1,0,6,0,1,0,1,0,0,0,10,24,8,1,0.243,baseball
154,3/8/2019,vs,Widener,L,2-4,31,2,3,2,1,0,0,1,0,0,0,0,1,0,0,7,24,9,0,0.097,baseball
155,3/9/2019,vs,Marymount (Va.),W,3-0,22,3,8,3,2,0,0,1,0,0,1,0,1,0,1,3,21,11,0,0.364,baseball
156,3/9/2019,vs,Marymount (Va.),W,5-4,25,5,5,4,2,0,1,3,0,1,0,0,2,0,0,7,21,12,2,0.2,baseball
157,3/16/2019,at,Penn State Berks,L,3-6,24,3,6,3,2,0,0,2,0,2,0,0,1,1,0,4,18,9,3,0.25,baseball
158,3/16/2019,at,Penn State Berks,W,6-1,28,6,8,5,1,0,0,6,0,0,0,0,1,0,1,3,21,11,0,0.286,baseball
159,3/19/2019,at,Marywood,W,9-0,38,9,13,7,4,1,0,6,0,1,0,0,1,0,0,4,27,11,0,0.342,baseball
160,3/20/2019,at,Wilkes,L,9-15,36,9,11,9,3,1,2,5,0,1,0,0,0,0,0,5,24,6,2,0.306,baseball
161,3/24/2019,,Penn St.-Abington,L,6-8,36,6,11,6,2,0,1,4,0,2,1,0,1,0,0,3,27,19,2,0.306,baseball
162,3/24/2019,,Penn St.-Abington,L,5-8,26,5,9,5,2,0,2,1,0,0,0,0,2,0,1,3,21,6,3,0.346,baseball
163,3/27/2019,at,Lebanon Valley,W,10-2,41,10,16,10,6,0,1,7,0,0,0,0,1,0,0,6,27,13,1,0.39,baseball
164,3/28/2019,,Elizabethtown,W,7-1,34,7,12,7,3,0,0,3,1,2,3,0,0,0,0,2,27,11,2,0.353,baseball
165,3/30/2019,at,Johns Hopkins,L,0-11,32,0,7,0,1,0,0,1,0,0,1,1,1,0,1,2,24,5,0,0.219,baseball
166,3/30/2019,at,Johns Hopkins,L,1-19,31,1,5,1,0,0,1,1,0,0,0,0,0,0,2,7,24,4,1,0.161,baseball
167,4/2/2019,,Haverford,L,5-8,48,5,13,5,2,0,0,2,1,3,1,2,0,0,0,10,36,19,2,0.271,baseball
168,4/3/2019,,Drew,L,5-19,36,5,10,5,2,0,4,0,0,0,0,0,0,0,2,6,27,6,1,0.278,baseball
169,4/7/2019,,Franklin & Marshall,W,5-2,30,5,9,4,1,0,0,1,0,0,0,0,2,0,2,6,27,10,2,0.3,baseball
170,4/7/2019,,Franklin & Marshall,W,5-4,46,5,14,4,3,0,0,1,0,0,0,1,1,0,1,12,36,16,3,0.304,baseball
171,4/8/2019,at,Haverford,L,1-7,31,1,7,1,0,0,1,3,0,0,0,1,1,0,2,9,24,9,0,0.226,baseball
172,4/9/2019,at,Swarthmore,W,9-8,50,9,18,8,5,0,0,0,0,1,0,1,0,0,1,6,33,13,5,0.36,baseball
